Продукт,Белки,Жиры,Углеводы,Калорийность
Куриное сердце вареное,20.0,10.9,1.1,182
Куриное филе,23.1,1.2,0.0,110
Куриное филе Агрокомплекс,21.0,5.0,0.0,129
Куриное филе вареное,30.4,3.5,0.0,153
Куриное филе сыровяленое,52.8,9.0,0.0,292
Куриное филе-медальон Мираторг,13.3,8.1,15.5,188
Куриные бедра,21.3,11.0,0.1,185
Куриные биточки сливочные Троекурово,14.0,7.0,8.5,153
Куриные желудки,18.2,4.2,0.6,114
Куриные зразы с грибами и сыром Троекурово,14.0,7.5,8.4,157
Куриные крылышки,19.2,12.2,0.0,186
Куриные крылышки копченые,29.9,19.5,0.0,290
Куриные лапки,19.4,14.6,0.2,215
Куриные ножки маринованные,17.0,14.0,1.7,200
Куриные окорочка,16.8,10.2,0.0,158
Куриные окорочка копченые,10.0,20.0,0.0,220
Куриные потроха,18.3,5.2,1.4,130
Куриные фрикадельки Веснушки,13.8,8.7,7.6,164
Куриные шейки,14.7,26.4,0.0,297
Куриный рулет,16.0,26.0,0.0,310
Куриный суповой набор,16.5,12.6,0.4,181
Куриный фарш,17.4,8.1,0.0,143
Куриный фарш жирный,21.3,11.0,0.1,185
Куриный фарш Самсон 5%,16.0,5.0,0.0,105
Куриный фарш филейный Троекурово,21.0,5.0,0.0,130
Куриный фонарик копчено-вареный,11.0,5.0,2.0,97
Куриный шницель рубленый Троекурово,14.7,12.8,9.9,210
Курица,16.0,14.0,0.0,190
Курица вареная (без кожи),25.2,7.4,0.0,170
Курица жареная,26.0,12.0,0.0,210
Курица копченая,27.5,8.2,0.0,184
Куропатка,18.0,20.0,0.5,254
Куропатка жареная,29.0,8.0,0.0,250
Лангет,15.7,11.6,0.0,167
Лосятина,21.4,1.7,0.0,101
Лягушачьи лапки,16.4,0.3,0.0,73
Медвежье мясо,20.1,8.3,0.0,155
Мясной фарш с морковью Самсон 8%,13.0,8.0,3.0,145
Мясо косули,21.4,6.0,0.0,138
Мясо нутрии,18.0,4.6,0.2,176
Мясо цыпленка в собственном соку,15.0,16.0,0.0,204
Наггетсы куриные Мираторг классические,13.3,10.8,15.1,211
Наггетсы куриные Мираторг с ветчиной,13.3,13.1,14.5,229
Наггетсы куриные Мираторг с сыром,12.3,11.8,15.8,219
Наггетсы куриные Мираторг с сыром и грибами,13.0,12.4,15.7,226
Наггетсы куриные Мираторг хрустящие,12.9,12.1,15.6,223
Оленина,19.5,8.5,0.0,154
Оленина вареная,30.8,11.2,0.0,223
Оленина варено-прессованная,27.0,2.2,0.0,148
Оленина жареная,34.3,15.0,0.0,271
Оленина тушеная,25.0,10.9,0.0,198
Оленина тушеная Особая,10.0,4.3,2.9,81
Пастрома из мяса птицы,22.0,2.0,0.0,110
Паштет Grand-Mere печеночный классический,8.1,33.0,4.4,339
Паштет Grand-Mere печеночный с грибами,7.6,30.0,4.4,314
Паштет Grand-Mere печеночный с зеленью,7.7,31.0,4.4,323
Паштет Grand-Mere печеночный с паприкой,7.6,30.0,4.4,314
Паштет из говяжьей печени,18.1,11.1,7.0,177
Паштет мясной,15.0,11.0,0.0,170
Паштет печеночный говяжий классический,9.4,18.7,2.5,217
Перепелка,21.8,4.5,0.0,134
Поросенок молочный,20.6,3.0,0.0,109
Прошутто,22.6,20.9,0.0,279
Ростбиф из говядины,26.4,6.8,0.0,173
Рулет Ганна Домашнее лакомство из мяса птицы,15.3,11.9,0.0,168
Рябчик,18.0,20.0,0.5,254
Сало,2.4,89.0,0.0,797
Свиная вырезка,19.4,7.1,0.0,142
Свиная грудинка без кости,10.1,53.0,0.0,510
Свиная грудинка Дымов Крылатская копчено-вареная,14.0,33.0,0.0,353
Свиная грудинка с костью,21.0,10.0,0.0,174
Свиная лопатка,16.0,21.7,0.0,257
Свиная нога жареная,27.0,20.0,0.0,290
Свиная печень,22.0,3.4,2.6,130
Свиная печень вареная,30.4,4.7,3.6,180
Свиная рулька со шкурой,18.6,24.7,0.0,294
Свиная тушенка,13.0,35.0,0.0,367
Свиная шейка,13.6,31.9,0.0,343
Свиная шкурка,18.0,16.0,0.0,216
Свиная щековина,6.4,69.6,0.0,494
Свиная щековина копченая,9.1,67.1,0.5,625
Свинина,16.0,21.6,0.0,259
Свинина вареная,22.6,31.6,0.0,375
Свинина жареная,11.4,49.3,0.0,489
Свинина копченая,16.6,24.8,3.4,302
Свинина постная,19.4,7.1,0.0,160
Свинина Самсон Поджарка из лопатки,16.0,18.0,0.0,230
Свинина тушеная,9.8,20.3,3.2,235
Свинина тушеная Скопино,13.0,35.0,0.0,367
Свино-говяжий фарш Велком мясной,15.0,25.0,0.0,285
Свино-говяжий фарш Мираторг Домашний,14.0,28.0,0.0,310
Свино-говяжий фарш Мираторг Любительский,15.0,25.0,0.0,290
Свиное сердце,16.9,4.8,2.2,118
Свиное сердце вареное,33.8,9.6,4.4,236
Свиной балык,15.4,24.9,0.0,286
Свиной край на гриле,21.0,35.0,0.0,400
Свиной окорок,18.0,21.3,0.0,261
Свиной окорок копчено-вареный (Ашан),14.0,26.0,0.0,306
Свиной ошеек,16.1,22.8,0.0,267
Свиной подгрудок,7.4,67.8,0.0,630
Свиной фарш,17.0,21.0,0.0,263
Свиной фарш Черкизово Деревенский,14.0,26.0,0.0,290
Свиной шпик,1.4,92.8,0.0,841
Свиной язык,16.5,11.1,0.0,165
Свиные легкие,14.1,2.7,0.0,85
Свиные легкие тушеные,16.6,3.1,0.0,99
Свиные ноги,18.0,16.0,0.0,216
Свиные отбивные на гриле,28.0,24.0,0.0,340
Свиные почки,16.8,3.8,0.0,102
Свиные ребра,15.2,29.3,0.0,321
Свиные ребра копчено-вареные,10.0,55.0,0.0,535
Свиные ребра копченые,10.0,52.7,0.0,514
Свиные ребрышки Самсон,10.0,25.0,0.0,265
Свиные уши,21.0,14.1,0.0,211
Соевое мясо,52.0,1.0,17.6,296
Соевое мясо гуляш Здоровка,52.0,2.0,18.0,298
Соевое мясо фарш Здоровка,52.0,2.0,18.0,298
Соевый бефстроганов Bona Vita,48.9,2.3,8.9,312
Соевый гуляш Bona Vita,48.9,2.3,8.9,310
Соевый стейк Bona Vita со вкусом курицы,49.0,2.5,9.0,310
Соевый фарш Сойка сухой 50%,50.0,2.0,18.0,350
Страусиное мясо,21.7,1.2,0.0,98
Субпродукты тушеные,24.0,8.0,0.0,185
Телятина отварная,30.7,0.9,0.0,131
Телячий окорок,19.9,3.1,0.0,108
Телячьи легкие,16.3,2.3,0.0,90
Телячьи легкие тушеные,18.7,2.6,0.0,104
Телячьи ребра,16.3,18.7,0.0,233
Телячья лопатка,19.9,2.8,0.0,106
Телячья мякоть,20.5,2.4,0.0,105
Телячья печень,19.2,3.3,4.1,124
Тетерев,18.0,20.0,0.5,254
Тефтели свиные,7.0,10.0,12.0,172
Улитка виноградная,16.1,1.4,2.0,90
Утиная грудка,18.9,9.0,2.0,172
Утиная грудка без кожи и жира,19.0,6.0,0.0,145
Утиная печень,15.8,38.0,0.0,405
Утка,13.5,28.6,0.0,308
Утка вареная,19.7,18.8,0.0,248
Утка жареная,22.6,19.5,0.0,266
Утка копченая,19.0,28.4,0.0,337
Фазан,18.0,20.0,0.5,254
Фрикадельки Meatballs Самсон из говяжьего фарша 7.5%,19.0,7.5,0.0,139
Фрикадельки Meatballs Самсон из куриного фарша 5%,21.0,5.0,0.0,129
Фрикадельки Ближние горки из свиного фарша,13.0,18.0,0.0,210
Фуа-гра,11.4,43.8,4.7,462
Хамон,34.8,16.1,1.3,241
Хотстеры Горячая штучка замороженные,7.0,22.0,17.0,294
Цесарка,20.6,2.5,0.0,110
Цыпленок-бройлер Мякоть бедра Петруха,16.5,14.4,0.0,196
Цыпленок-бройлер охлажденный,18.7,16.1,0.5,219
Цыпленок-бройлер Печень Благояр,18.0,10.0,0.0,160
Цыпленок-бройлер Филе бедра Первая Свежесть охлажденное,13.8,8.7,0.4,136
Цыпленок-бройлер Филе бедра Петелинка без кожи,16.0,14.0,0.0,190
Чебупели Горячая штучка С ветчиной и сыром,6.0,13.0,36.0,285
Чебупели Горячая штучка Сочные с мясом,7.0,16.0,35.0,312
Чебупицца Горячая штучка Курочка по-итальянски,12.5,15.0,29.0,301
Чебупицца Горячая штучка Пепперони,10.5,13.0,23.0,251
Черепаха,19.8,0.5,0.0,89
Эскалоп,19.0,42.8,6.8,487
Ягнёнок (каре),16.2,14.1,0.0,192
Ягнёнок (нога),20.6,5.1,0.0,134
Ягнятина,16.2,14.1,0.0,192
Ангурия (Антильский огурец),1.8,1.3,7.6,44
Арракача,0.9,0.1,17.1,60
Артишок,1.2,0.1,6.0,28
Ассорти Бондюэль из сладкого перца,1.1,0.2,4.8,25
Ассорти Бондюэль из фасоли с ананасами в соусе Карри,3.8,1.1,9.3,62
"Ассорти Бондюэль из цветной капусты, романеско и брокколи",1.8,2.7,8.6,66
Баклажан,1.2,0.1,4.5,24
Баклажан белый,1.2,0.1,4.6,24
Баклажан замороженный,1.3,0.1,5.2,27
Баклажан консервированный,0.9,0.7,7.3,49
Баклажанная икра консервированная,1.7,13.3,5.1,148
Баклажанная икра свежая,0.6,7.0,6.0,90
Баклажаны 4 сезона запечённые порционные,2.1,0.2,8.9,48
Баклажаны 4 сезона нарезанные,1.3,0.1,5.2,27
Бамбук листья,2.0,0.0,4.0,32
Бамбук побеги вареные,1.5,0.2,0.9,12
Бамбук побеги консервированные,1.7,0.4,1.8,19
Бамбук побеги сырые,2.6,0.3,3.0,27
Бамия,2.0,0.1,3.8,25
Бамия 4 сезона,0.2,0.1,8.0,23
Бедренец камнеломка,0.0,0.0,0.0,
Бессмертник,0.2,0.0,5.0,27
Бобы,6.0,0.1,8.5,57
Бобы зелёные,6.0,0.1,10.5,60
Брюква,1.2,0.1,7.7,37
Брюква запечённая,2.1,1.6,7.5,51
Брюква тушеная,1.2,8.5,8.6,114
Вигна,3.0,0.4,18.8,90
Горох варёный,6.0,0.0,9.0,60
Горох лущеный,23.0,1.6,57.7,323
Горох маш,23.5,2.0,46.0,300
Горох маш (ростки),3.1,0.2,6.0,30
Горох сушёный,20.5,2.0,53.3,298
Горошек зелёный,5.0,0.2,13.8,73
Горошек зелёный 4 сезона,5.1,0.2,13.1,75
Горошек зелёный 6 соток,3.1,0.0,6.5,38
Горошек зелёный Globus,5.5,0.7,7.4,74
Горошек зелёный Hortex,6.4,0.4,10.5,83
Горошек зелёный Бондюэль замороженный,6.9,0.4,19.4,85
Горошек зелёный Бондюэль Нежный,4.8,0.2,7.5,52
Горошек зелёный Бондюэль с молодой морковью,3.3,0.5,9.3,54
Горошек зелёный Бондюэль с морковью в кубиках,3.0,0.2,10.0,53
Горошек зелёный замороженный,6.4,0.4,16.3,72
Горошек зелёный Каждый день замороженный,5.0,0.2,8.5,55
Горошек зелёный консервированный,3.6,0.1,9.8,55
Горошек зелёный стручковый,5.0,0.2,8.3,55
Гулявник лекарственный,0.3,0.0,5.0,21
Дайкон,1.2,0.0,4.1,21
Девясил,2.9,0.0,0.2,15
Драники картофельные Зимняя радуга Белорусские замороженные,1.9,0.4,16.9,79
Зелень,2.6,0.4,5.2,36
Зразы картофельные от Ильиной с грибами,2.0,1.0,13.0,70
Зразы картофельные от Ильиной с капустой,3.3,3.9,15.0,108
Кабачки 4 сезона нарезанные,0.6,0.3,5.3,26
Кабачковая икра,1.2,7.0,7.4,97
Кабачок,0.6,0.3,4.6,24
Кабачок жареный,1.1,6.0,6.7,88
Кабачок замороженный,0.6,0.3,4.7,21
Кабачок консервированный,0.4,0.1,4.9,22
Кабачок сушеный,8.5,4.3,65.2,340
Каперсы,0.8,0.1,2.6,14
Каперсы консервированные,2.4,0.9,1.7,24
Каперсы маринованные,2.4,0.9,1.7,24
Капуста белокочанная,1.8,0.1,4.7,27
Капуста белокочанная жареная,1.8,2.8,4.2,49
Капуста белокочанная сушеная,15.0,1.4,48.0,278
Капуста брокколи,3.0,0.4,5.2,28
Капуста брокколи 4 сезона,2.5,0.3,4.6,31
Капуста брокколи Hortex,2.7,0.4,2.4,29
Капуста брокколи Бондюэль замороженная,2.7,0.1,4.9,23
Капуста брокколи варёная,3.0,0.4,4.0,27
Капуста брокколи замороженная,2.7,0.4,4.7,24
Капуста брюссельская,4.8,0.0,8.0,43
Капуста брюссельская 4 сезона,4.8,0.3,3.1,36
Капуста брюссельская Hortex,4.5,0.5,3.2,46
Капуста брюссельская Бондюэль замороженная,4.0,0.5,8.0,31
Капуста брюссельская замороженная,4.5,0.5,8.4,36
Капуста кале,3.3,0.7,8.0,50
Капуста квашеная,1.8,0.1,4.4,19
Капуста кольраби,2.8,0.0,10.7,42
Капуста консервированная,1.3,0.1,3.6,23
Капуста краснокочанная,0.8,0.0,7.6,24
Капуста пак-чой,1.5,0.2,2.2,13
Капуста пекинская,1.2,0.2,2.0,16
Капуста романеско,2.5,0.3,4.2,30
Капуста романеско Бондюэль,2.9,0.5,2.2,25
Капуста савойская,1.2,0.1,6.0,28
Капуста цветная,2.5,0.3,5.4,30
Капуста цветная 4 сезона,2.5,0.3,4.6,31
Капуста цветная Hortex,2.2,0.2,2.3,24
Капуста цветная Бондюэль замороженная,1.6,0.2,3.9,14
Капуста цветная варёная,1.8,0.3,4.0,29
Капуста цветная жареная,3.0,10.0,5.7,120
Капуста цветная консервированная,2.5,0.3,4.2,28
Картофель,2.0,0.4,16.1,76
Картофель 4 сезона по-деревенски,2.5,4.0,23.5,130
Картофель 4 сезона фри,2.1,3.3,11.0,105
Картофель варёный,2.0,0.4,16.7,82
Картофель жареный,2.8,9.5,23.4,192
Картофель молодой,2.4,0.4,12.4,61
Картофель сладкий (батат),2.0,0.0,14.6,61
Картофель сушеный,6.6,0.3,71.6,298
Картофель фиолетовый,2.0,0.4,16.0,72
Картофельное пюре,2.5,4.2,14.7,106
Картофельное пюре быстрого приготовления сухое,10.5,3.8,75.3,337
Картофельное пюре Доширак со вкусом грибов,5.1,5.3,71.2,350
Картофельное пюре Доширак со вкусом сыра,7.5,2.3,74.8,350
Картофельное пюре Роллтон с курицей,10.0,7.0,69.0,380
Картофельное пюре Роллтон с сухариками,10.5,3.8,75.3,377
Картофельные хлопья,7.0,1.1,83.0,369
Кинза,2.1,0.5,1.9,23
Кипрей (Иван-чай) сушеный,4.6,1.8,31.6,150
Клекачка колхидская (Джонджоли),2.4,0.9,1.7,23
Козлобородник,3.3,0.2,15.3,82
Колоказия съедобная,1.5,0.2,26.5,112
Крапива,2.6,0.3,5.2,33
Кресс-салат,2.3,0.1,1.3,11
Кукуруза 4 сезона сладкая в зёрнах,11.4,4.2,38.6,238
Кукуруза 6 соток сладкая,2.2,0.0,11.2,58
Кукуруза Globus сахарная в зернах,2.9,0.6,9.9,58
Кукуруза Green Ray деликатесная сладкая,2.2,0.0,11.2,58
Кукуруза Hortex,3.6,1.4,19.3,111
Кукуруза Бондюэль золотистая,3.2,1.0,18.6,96
Кукуруза Бондюэль Молодая сладкая,2.9,1.9,10.8,80
Кукуруза Бондюэль сладкая в зёрнах,3.3,2.3,14.7,93
Кукуруза Бондюэль сладкая в зернах в вакуумной упаковке,3.9,1.3,22.0,115
Кукуруза варёная,4.1,2.3,22.5,123
Кукуруза мини,3.1,1.6,21.8,114
Кукуруза сладкая в початках,3.5,2.8,15.6,101
Кукуруза сладкая консервированная,2.2,0.0,11.2,58
Купырь (кервель),3.2,0.3,7.3,45
Лаванда,4.0,0.7,0.2,23
Лагенария,0.6,0.0,3.4,15
Лебеда садовая сушеная,14.1,6.1,64.2,368
Лечо Бондюэль в томатном соусе замороженное,1.3,0.9,5.4,35
Лечо Бондюэль консервированное,1.5,0.3,17.0,65
Листья алоэ,0.0,0.0,5.0,20
Листья амаранта,2.5,0.3,4.0,23
Листья винограда,5.6,2.1,6.3,93
Листья винограда консервированные,4.3,2.0,11.7,69
Листья вишни,0.0,0.0,0.1,1
Листья карри,16.8,8.3,17.5,203
Листья смородины,0.1,0.0,0.1,1
Листья хрена,9.4,1.4,6.2,64
Лоби 4 сезона зелёный нарезанный,3.1,0.3,3.1,28
Лопух (репейник) корень,1.5,0.1,14.0,72
Лопух (репейник) листья,1.8,0.2,3.7,19
Лук белый,1.4,0.2,9.0,42
Лук душистый джусай,1.4,0.2,8.2,41
Лук зелёный,1.3,0.0,4.6,19
Лук красный,1.4,0.0,9.1,42
Лук красный маринованный,0.9,0.1,2.8,19
Лук маринованный,0.9,0.1,2.8,19
Лук порей,2.0,0.0,8.2,33
Лук репчатый,1.4,0.0,10.4,47
Лук репчатый 4 сезона нарезанный,1.2,0.2,8.6,38
Лук репчатый пассерованный,1.2,17.0,8.6,193
Лук репчатый сушеный,8.4,2.8,42.6,219
Лук-чеснок рокамболь,6.4,0.5,31.0,149
Лук-шалот,2.5,0.1,16.8,72
Любисток,3.7,0.4,7.6,20
Люффа,1.2,0.2,4.4,20
Люцерна,0.2,0.7,4.0,23
Мангольд,1.8,0.2,3.7,19
Маслины,2.2,10.5,5.1,166
Маслины Бондюэль с косточкой / без косточки,0.8,10.7,6.3,115
Мать-и-мачеха,0.0,0.0,0.0,1
Маш-салат,1.1,0.0,3.5,23
Мелисса лекарственная,3.7,0.4,8.0,49
Мелотрия (Африканский огурец),0.8,0.1,2.5,14
Микрозелень,2.6,0.1,5.0,31
Микрозелень гороха Botanica Farm,3.0,0.6,1.4,23
Микрозелень подсолнечника Botanica Farm,3.0,0.6,1.4,23
Микрозелень редиса Botanica Farm,3.0,0.6,1.4,23
Микс семян для прорастания,15.6,3.4,15.6,156
Мирпуа,1.8,0.0,7.8,38
Момордика (Индийский огурец),0.8,0.1,3.0,15
Морковная ботва,0.6,0.1,5.3,35
Морковные палочки,1.0,0.0,6.0,29
Морковный жмых,0.6,0.1,4.5,20
Морковь,1.3,0.1,6.9,32
Морковь Бондюэль молодая целая,0.8,0.5,5.0,27
Морковь Бондюэль молодая Экстра,0.5,0.7,4.2,25
Морковь варёная,0.8,0.3,5.0,25
Морковь жёлтая,1.3,0.1,7.2,33
Морковь квашеная,1.3,0.1,4.5,26
Морковь консервированная,0.6,0.1,3.6,23
Морковь пассерованная,0.9,10.2,8.5,127
Морковь сушеная,7.8,0.6,49.2,221
Морковь фиолетовая,1.3,0.1,6.9,35
Нут,19.0,6.0,61.0,364
Нут Fresh Food отварной,9.0,0.0,19.0,140
Нут Бондюэль На пару,6.4,2.2,14.7,120
Нут вареный,8.3,1.9,19.3,127
Нут консервированный,7.2,3.4,19.5,125
Овощи,2.5,0.1,5.0,31
Овощи Бондюэль для супа из шампиньонов,0.3,0.3,6.0,22
Овощи весенние Краски лета,3.2,0.0,8.0,45
Овощи для жарки Hortex,2.1,1.7,8.5,63
Овощи для жарки Hortex с приправой по-восточному,2.2,0.3,4.5,37
Овощи для жарки Hortex с приправой по-итальянски,2.4,0.5,6.7,47
Овощи для жарки Hortex с пряными травами и перцем,2.1,1.5,11.1,71
Овощи для жарки Hortex с рисом и шампиньонами,2.8,0.4,10.0,60
Овощи для жарки Hortex с укропом,2.2,1.5,8.4,61
Овощи для жарки Краски лета,2.4,0.0,10.8,53
Овощная смесь 4 сезона Весенние овощи,2.9,0.3,10.0,54
Овощная смесь 4 сезона Восточная,2.7,0.4,7.5,44
Овощная смесь 4 сезона Гавайская,3.7,1.2,24.8,125
Овощная смесь 4 сезона Грибное жаркое с гречкой,4.3,0.9,15.9,85
Овощная смесь 4 сезона Грибы с картошкой,2.0,0.5,7.4,40
Овощная смесь 4 сезона Гювеч,1.4,0.1,5.2,51
Овощная смесь 4 сезона Итальянская,5.4,0.9,22.0,114
Овощная смесь 4 сезона Калифорния,7.6,1.6,42.6,154
Овощная смесь 4 сезона Китайская,2.3,1.2,3.9,34
Овощная смесь 4 сезона Летние овощи,3.5,0.3,7.5,47
Овощная смесь 4 сезона Лечо,1.2,0.1,5.3,27
Овощная смесь 4 сезона Мексиканская,3.4,0.9,16.4,87
Овощная смесь 4 сезона Мусака,1.5,0.2,8.1,40
Овощная смесь 4 сезона Овощи для жарки с шампиньонами,4.9,1.2,2.1,39
Овощная смесь 4 сезона Овощи по-деревенски,5.4,1.7,26.1,141
Овощная смесь 4 сезона Овощи с гречкой,3.5,0.8,16.8,84
Овощная смесь 4 сезона Овощное рагу,0.5,0.1,3.8,38
Овощная смесь 4 сезона Паприкаш,3.5,0.1,8.9,51
Овощная смесь 4 сезона Паста с лесными грибами,0.1,0.9,16.0,84
Овощная смесь 4 сезона Сибирская,2.6,0.5,10.7,58
Овощная смесь 4 сезона Скандинавская,2.8,0.3,5.9,38
Овощная смесь 4 сезона Столичный салат,1.8,0.2,12.1,57
Овощная смесь Hortex mexico,3.6,0.4,7.5,56
Овощная смесь Hortex stir-fry vegetables,2.2,2.1,13.1,85
Овощная смесь Hortex vip,1.9,0.4,5.4,39
Овощная смесь Hortex брокколи,1.9,0.3,3.1,28
Овощная смесь Hortex брокколи и цветная,2.5,0.3,2.4,27
Овощная смесь Hortex весенние овощи,2.8,0.3,3.9,37
Овощная смесь Hortex восточное блюдо,1.6,0.2,3.2,27
Овощная смесь Hortex гавайская,3.7,0.6,18.5,100
Овощная смесь Hortex картофель по-деревенски,1.3,0.3,5.5,34
Овощная смесь Hortex кус-кус,2.1,0.2,4.6,34
Овощная смесь Hortex летние овощи,2.6,0.2,4.2,36
Овощная смесь Hortex лечо,1.1,0.3,3.0,22
Овощная смесь Hortex овощи по-деревенски,1.8,0.3,7.3,44
Овощная смесь Hortex овощи по-домашнему,1.3,0.3,3.9,28
Овощная смесь Hortex паприкаш,1.3,0.2,2.9,22
Овощная смесь Hortex рагу,1.3,0.2,2.3,19
Овощная смесь Hortex рататуй,1.1,0.2,2.6,19
Овощная смесь Vитамин Мексиканская,2.5,0.5,11.0,50
Овощная смесь Vитамин Овощи-гриль с итальянскими травами,1.5,1.4,9.0,55
Овощная смесь Vитамин Сотэ с прованскими травами,1.7,0.2,5.6,29
Овощная смесь Алтайская кладовая с грибами,4.0,0.3,4.0,50
Овощная смесь Бондюэль Весенняя,2.6,0.5,4.5,35
Овощная смесь Бондюэль для жарки ВОК по-азиатски,2.8,0.2,4.5,30
Овощная смесь Бондюэль для жарки Гавайская,3.0,0.5,22.7,91
Овощная смесь Бондюэль для жарки Индонезийская,1.8,0.0,7.8,38
Овощная смесь Бондюэль для жарки Китайская,2.5,0.4,11.7,61
Овощная смесь Бондюэль для жарки По-деревенски,1.7,4.6,4.4,65
Овощная смесь Бондюэль для жарки Полевая,2.0,0.4,3.3,25
Овощная смесь Бондюэль для жарки с рисом и шампиньонами,2.5,0.3,14.7,58
Овощная смесь Бондюэль Китайская,1.3,0.2,3.2,19
Овощная смесь Бондюэль Летняя в сливочном соусе,2.0,2.8,9.3,70
Овощная смесь Бондюэль Маседуан,2.2,0.3,7.9,43
Овощная смесь Бондюэль Мексиканская,3.6,0.7,12.7,72
Овощная смесь Бондюэль Минестрон,1.9,0.7,11.8,51
Овощная смесь Бондюэль Царская,1.4,0.3,5.1,20
Овощная смесь ВкусВилл для Wok,1.4,0.0,6.2,30
Овощная смесь Зимовье Гарнир с красной фасолью по-мексикански,6.1,0.6,10.4,63
Овощная смесь Мираторг Кус-кус с овощами в соусе Марокко,0.0,1.1,30.7,166
Овощная смесь Свой урожай Американская,2.5,0.2,8.4,46
Овощное рагу 4 сезона,0.5,0.1,3.8,38
Овощные наггетсы Vитамин Весенние со шпинатом,1.4,0.0,12.0,54
Овощные наггетсы Vитамин Витаминный микс,1.6,0.0,11.6,53
Овощные наггетсы Vитамин Рататуй,0.9,6.8,12.0,113
Огурец,0.8,0.1,2.8,15
Огурец китайский,0.8,0.1,2.5,14
Огурец консервированный,2.8,0.0,1.3,16
Огурец маринованный,2.8,0.0,1.3,16
Огурец парниковый,0.7,0.0,1.8,10
Огурец солёный,0.8,0.1,1.7,11
Огурцы Бондюэль корнишоны маринованные 3-6 см,1.0,0.2,3.5,20
Огурцы Бондюэль маринованные 6-9 см,1.0,0.2,3.5,20
Одуванчик,2.7,0.7,6.7,45
Оливки,0.8,10.7,6.3,115
Оливки Бондюэль Мансанилья с голубым сыром,2.2,10.5,5.1,167
Оливки Бондюэль с косточкой / без косточки,1.4,18.2,5.1,160
Пастернак,1.4,0.5,9.2,47
Пастушья сумка,0.7,0.1,5.2,29
Патиссон,0.6,0.1,4.3,19
Патиссон консервированный,3.9,0.0,2.0,18
Пачули,0.0,0.0,0.0,1
Перец мини,1.3,0.0,5.7,27
Перец Рамиро,1.3,0.1,5.2,30
Перец ратунда,1.3,0.1,4.9,26
Перец сладкий 4 сезона нарезанный,1.3,0.1,5.4,27
Перец сладкий жёлтый,1.3,0.0,5.3,27
Перец сладкий замороженный,1.3,0.0,5.7,27
Перец сладкий зелёный,1.3,0.0,6.9,33
Перец сладкий красный,1.3,0.0,5.3,27
Перец сладкий маринованный,1.3,0.1,4.9,25
Перилла,0.0,0.0,0.0,
Петрушка,3.7,0.4,7.6,47
Петрушка (корень),1.5,0.6,10.1,49
Подорожник,0.4,0.1,7.0,26
Полынь,1.5,0.0,5.0,25
Портулак,1.3,0.1,3.4,17
Проростки Русский Спраут Испанский горох (нут),7.0,1.0,20.0,110
Расторопша пятнистая сухая,24.0,10.0,52.5,396
Ревень,0.7,0.1,2.5,13
Редис,1.2,0.1,3.4,19
Редька белая,1.4,0.0,4.1,21
Редька зелёная,2.0,0.2,6.5,32
Редька красная,1.2,0.1,3.4,20
Редька маргеланская (китайская),1.2,0.0,4.1,21
Редька чёрная,1.9,0.2,6.7,35
Репа,1.5,0.1,6.2,30
Ростки фасоли Бондюэль Мунго,1.5,0.1,1.8,14
Руккола,2.6,0.7,2.1,25
Салат,1.2,0.3,1.3,12
Салат Агрохолдинг Московский Гранж зелёный листовой,1.7,0.3,2.2,18
Салат Агрохолдинг Московский Изилиф зелёный листовой,1.3,0.2,2.2,16
Салат Агрохолдинг Московский Латук дуболистный зелёный,1.4,0.2,1.9,15
Салат Агрохолдинг Московский Премиум зелёный,1.4,0.2,1.9,15
Салат Агрохолдинг Московский Премиум красный листовой,1.3,0.2,2.2,16
Салат Агрохолдинг Московский Трио красно-зелёный,1.4,0.2,1.9,15
Салат Айсберг,0.9,0.1,1.8,14
Салат Афицион,1.5,0.2,2.2,14
Салат Батавия,1.5,0.2,2.0,16
Салат из микрозелени Дабл Боб Botanica Farm,2.8,10.1,3.6,113
Салат кочанный,0.9,0.1,1.8,14
Салат Лолло Росса,1.5,0.2,2.0,16
Салат Мицуна,2.0,0.2,1.5,16
Салат Оаклиф,1.5,0.2,2.0,16
Салат Полевой,1.1,0.0,3.5,23
Салат Радичио,1.5,0.2,3.3,20
Салат Романо,1.8,1.1,2.7,17
Салат Фризе,1.5,0.0,2.2,14
Салат Фриллис Выборжец свежий,2.0,0.1,7.0,37
Салат-коктейль Бондюэль Гавайский маринованный,1.7,0.5,20.0,91
Салат-коктейль Бондюэль Сомбреро,1.7,0.8,11.9,62
Салатный микс Солнечная фазенда Каталония,1.8,0.2,5.9,34
Салаты Белая Дача Baby Mix,1.5,0.2,2.3,17
Салаты Белая Дача Girls Mix,1.5,0.2,2.3,17
Салаты Белая Дача Mens Mix,1.5,0.2,2.3,17
Салаты Белая Дача Party Mix,1.5,0.2,2.3,17
Салаты Белая Дача Tango Mix,1.5,0.2,2.3,17
Салаты Белая Дача Tango Mix World Class,1.5,0.2,2.0,16
Салаты Белая Дача Vita Mix,1.5,0.2,2.3,17
Салаты Белая Дача Vita Mix World Class,1.8,0.2,3.8,24
Салаты Белая Дача Аликанте,1.5,0.2,2.3,17
Салаты Белая Дача Ассорти,1.4,0.2,3.1,19
Салаты Белая Дача Афиша Еда,1.5,0.2,2.3,17
Салаты Белая Дача Весенний Микс,1.4,0.2,2.9,19
